text_cleaned,true_label,predicted_label,error_type
жондеп шгарнздарш жанарту диттабарлык приложенмя ощрдк,0,1,false_positive
өте қолайлы,0,1,false_positive
бұл қолданба жақсы маған ұнайды,0,1,false_positive
мәә бір жыныма тимеш,0,1,false_positive
сапасы жақсы әр шкаф өз қорабында барлығы артығымен жақсы ұнамағаны раковинасы жоқ дүкендерден де табу қиын алғанымызға бір апта болды әлі раковина таппай жүрміз,0,1,false_positive
болат но реклама көөп уже бесит реклама деген неге осы барлық ойында реклама бір өлен тындап ойнайк десек реклама шыға берет,1,0,false_negative
қазақша аудармалары сын көтермейді масқара қате өріп жүр менім деген сөз жоқ қазақ тілінде менің деген сөз бар т б сөздер қате жазылған менің 4 бала бар өзімді қоса тіркесем маған 5 телефонның нөмірі керек екен 1 телефонмен бірнеше адамды тіркеу мүмкіндігі болса бағдарлама жақсы жоғарыда айтылған мәселелерді шешсеңіздер 10 жұлдыз қояр едім жарайсыздар жоғарыда айтылған ескертулердің бәрі түзетілген рақмет,1,0,false_negative
hасихат,0,1,false_positive
суперсел неге маган леон сенди полный лега туспейды менын 1 акаунтыма барлык зат тусе береды бырак неге2 акаунтыма туспейды алло уже мен барвл пасты 1 сезон жəне 4 сезон ды сатып алдым мен 70 90 кылып жинадым маган əле бір эпик тускен жок,1,0,false_negative
тартылдмайдыда малго,0,1,false_positive
нашар код келмид,1,0,false_negative
неге тартылмайды го,1,0,false_negative
жақсы бірақ тез тартылмайды,0,1,false_positive
коктюбе дегенді түзетіңдер,0,1,false_positive
вапше ұнамады мал екен,1,0,false_negative
неге бравл старс кирмей қалды кірсінш,1,0,false_negative
әлі тартпадым но көрем қалай қолданады түсінбедім,0,1,false_positive
күшті шығар деп ойлаймын күштіма,0,1,false_positive
смс жібермеи жатыр ватсапта осы ватсапта білмеимін көрем,1,0,false_negative
по идее базардын аты базар в целом неплохо,0,1,false_positive
неге жаксы жуктелмиды,0,1,false_positive
акцияның толоны деген не болады,1,0,false_negative
хабар2,0,1,false_positive
дәл келтіріп оқыдыңыз әдемі ырғақта тындай бергім келеді менің қайта қайта,1,0,false_negative
бүртүлі,0,1,false_positive
вы подписаны деп шыгады бирак жүктелинбейди,1,0,false_negative
унады унады кішті,0,1,false_positive
лч көрсең қаттып қалады футбол көргендей болмайсын,0,1,false_positive
қотақ жепсің сігіл,1,0,false_negative
керемет бырак жинаган акшаны каспиге салыныз,0,1,false_positive
не себеп болды екен соган жаксы болып еди алдында казир окиништи тындагын келеди бирак акылы,0,1,false_positive
неге жарым дейсіңдер аа,0,1,false_positive
ақша жиналмаитыны жаман,1,0,false_negative
қолданбаны жүктеуде қателер орын алады қолданбаға кіріп тұрып шығып кету және сақтаған тізімдерін сақтаулыда тұрмайды,1,0,false_negative
маған қатты қатті ұнады,0,1,false_positive
өтркшлер оиналмаиды,0,1,false_positive
телефон өмір бақи алмайды,0,1,false_positive
аа ннееггее ммеенн іі ооййыыъ қооттааққ ттаарр,0,1,false_positive
маған кірмей қойды,1,0,false_negative
өте қуаныштымын,0,1,false_positive
тукте пресым жок бытшыт,0,1,false_positive
пр ұнады бырақ арам оиын кешір бырақ дұрыс игра шығар,0,1,false_positive
сапасы жоғары керек заттары бәрі бар уақытында жеткізіп берді рахмет,0,1,false_positive
мыкты прес аб нурасыл,0,1,false_positive
өте қымбат бір штук аз уақытқа жетеді екен,0,1,false_positive
өте маман 2 жердін 2 сағат аиналып турады,0,1,false_positive
bolmaitin bank eken bul bank,0,1,false_positive
ойын малекен,0,1,false_positive
мен бамға түсіп қалдым қашан шығарады қызықсыз болып барады,1,0,false_negative
ойын дәл рекламадағыдай емес сеніп қалмаңдар,0,1,false_positive
өте керемет оиын,0,1,false_positive
мал ойын екен бұл ойынды тарпаңдар,0,1,false_positive
кушты бірақ мен бутыма жберып койдым сол үшін 1,0,1,false_positive
оте керемет программа озыме катты унады айналада не болып км кайда жургеныныне дейн салып отырады,0,1,false_positive
керемет бырақ маған өте қатты ұнады,0,1,false_positive
күшті бірақ дұрыстап ашу керек бұл телеграмды,1,0,false_negative
малыски оиын,0,1,false_positive
ұнамады мб көп көп фф одан көп,0,1,false_positive
қазақ тілінде бар және өте ыңғайлы ішіндегі жазулар яғни жихаз мебель хабарландыру обьявления қызметтер услуги жеке заттар личные вещи бизнеске арналған для бизнеса үй жануарларға животным балаларға детям хобби және спорт хобби и спорт работа жұмыс қосалқы бөлшектер запчасти барлық бөлімдер все категории электр қажеттіліктер электроника үй мен баққа арналған для дома и сада деп ауыстыруы қажет,0,1,false_positive
мынаны қалай өлтіреді,1,0,false_negative
секс ойнга уксайд бравл старт кейде котакка уксайды,0,1,false_positive
бұрыңғы версия жаксы еді сразу сохранить етіп алатын мұнда олай емес ал былай керемет,1,0,false_negative
ең ірі бауырымен жорғалаушы не ол қолтырауын емеспе дурыстаныздар,1,0,false_negative
е котакбастар тартпандар бул ойынды,1,0,false_negative
хуйу ұнаған жоқ,1,0,false_negative
неге ойын атылмайт,0,1,false_positive
оте қызық ойын базар жоқ,0,1,false_positive
приложение күшті бірақ тарифтері қымбат,0,1,false_positive
болад жоқтан жақсы,0,1,false_positive
котак мазга ойнап айтам жаксы жоба каз мен секысатканебым быр кызбен,0,1,false_positive
ұнады жастарға өте өте ұнайды,0,1,false_positive
мен бес жұлдыз қойар едім бірақ ана қатындарды қосқаннан кеиін бір жұлдыз қойдым,0,1,false_positive
логикалық сұрақтар бөлімінде көп сұрақтардың жауаптары мүлдем сəйкес келмейді жəне дым мағынасы жоқ,1,0,false_negative
онша емес екен бірақ болады,1,0,false_negative
жылжып кетіп қалады алысқа,1,0,false_negative
ойынды шыгарган адам кай кампания,0,1,false_positive
тартып алдым бірәқ иин жазсам қабылдамайт неге,1,0,false_negative
мәә бір жұлдызды зорға бастым жулдызсыз пікір жазылмайд,0,1,false_positive
ymri online mektep,0,1,false_positive
әндер жуктелмей қалды кетірем,0,1,false_positive
сіздердің томынгыз қаншада менің томым 47де,0,1,false_positive
неге ойналмай калады акша болсада,1,0,false_negative
маган унады олен косса тагыда жаксы болар еди,0,1,false_positive
алихан көтіңді қысшы өзіңсің қотақбас,1,0,false_negative
кушти тамаша,0,1,false_positive
оте керемет праграма екен,0,1,false_positive
шамалы нашар,1,0,false_negative
кішкентай ыңғайлы зарядтау алатын жері 2 ші күні істемей қалды,0,1,false_positive
шешесі амы,1,0,false_negative
ұнады маған,0,1,false_positive
иа менікі былаи деп тұр бұл қолданба абаи болыңыз,0,1,false_positive
кушти_,0,1,false_positive
керсінше осы жақсы мал баиығысы дым күшті емес,1,0,false_negative
бір жеті алдын болдым бұрынғы мастер 2 де керемет,0,1,false_positive
керемет ойын өз басым маған ұнайды өте адамның миын қызықтыратын ойын,0,1,false_positive
мен бұл ойынды тартпақшы болғаңыма 3 күн болды қолданба жүктелсін сосын бағамды өзгертемін 4 жұлдыз қылып,0,1,false_positive
сікісетін қыз іздейм,0,1,false_positive
өте жақсы қондырғы,0,1,false_positive
зынгы,0,1,false_positive
мал ма,1,0,false_negative
айфонға қашан кіргізесіздер,0,1,false_positive
қазақ тілінде пікірлер саны әрдайым 0 деп тұрады осы багты түзетсеңіздер керемет болар еді,0,1,false_positive
сендердің пікірлеріңе құлақ аса бұны жүктемеймін,0,1,false_positive
күшті ойындар тендерге ше,0,1,false_positive
басында жаксы болган казр нашар орысшадан баска арипке аустрайн десен стелмид инглиш ке кояин десем баслмайт казакша кояйн десем баслмайт не боп кеткен,1,0,false_negative
жаман екен кана узкорус кана да л,0,1,false_positive
өөте ұзақ күттік менюдын жартсы жоқ әкелген тағамдар өкішке орай көңілімізден шықпады,0,1,false_positive
ақылы екен басып алмайақ қойынызбар,0,1,false_positive
блмеим көрем оинап казрше 1 жулдыз,0,1,false_positive
толық қазақ тілін енгізу керек,1,0,false_negative
гта алматы үшін ғо,0,1,false_positive
кейбірде басты әріп жоғалып кетеді,1,0,false_negative
өте жақсы программа маган көп комегі тиді,0,1,false_positive
өтінем бетті қалай ауыстырады сіздер қалай оқыдыңыздар,0,1,false_positive
ақырын жазып жатыр ғой енді қалай қарайсың,1,0,false_negative
1ди 1сагата жазды содан кейин 70 болды жок маган унаган жок содан кейин жазылды ойнадым ол кушты,1,0,false_negative
фото қараб отсаң қатып қалабереді сосын шығарыб жереді,0,1,false_positive
жазылып бомайд,0,1,false_positive
беттерді қалай ауыстырады ыңғайсыз екен,1,0,false_negative
керек міндетті,0,1,false_positive
сендерге ренжидим кридет бермейсиз,0,1,false_positive
kaspi kz қосымшасында ақша аударымдарын қабылдауға тыйым салу функциясын қосуға болмай ма интернет төлемдер сияқты керек кезде доступ беріп басқа уақытта жауып қоятын,1,0,false_negative
былай қылсаң былай адамның жынына тиіп бітті дұрыстауын дасаңдаршы жасайтын болсаңдар,0,1,false_positive
пу коширилмейдиго долга,0,1,false_positive
бұл программа жақсы бірақ мәтін есеп шығармайды егер мәтін есеп шығарса бес жұлдыз қойамын,0,1,false_positive
интерьер ғана норм болмаса қалғаны оңша емес,0,1,false_positive
азамат займ деген жоккой ышынде,0,1,false_positive
ютуб қотақ бас,1,0,false_negative
салематсыздарма неге косылмай жатыр,1,0,false_negative
негізі өте жақсы ойын бірақта тағы біраз ережелер қосу керек неме енді шарттар дегендей,0,1,false_positive
жүктеп алып тыңдау ға болма,0,1,false_positive
ештеңе ашпайды кірмейді,1,0,false_negative
маған бұл ұнады,0,1,false_positive
қасындағы шнурлар жоқ,0,1,false_positive
алғаныма бір ай болды қолданып жүрмін бірақ сүт кұйғанда астынан ағып кетеді,0,1,false_positive
неге тартылмай жатыр негз маған қатты ұнайды проста тартылмай жатыр,1,0,false_negative
жақсы екен ғой енді осы телеграмды кім шығады,0,1,false_positive
кишкене куады осы онлайн мектеп,1,0,false_negative
кушті рахмет,0,1,false_positive
қазақ тілін қосса жақсы болар еді қазақша болса керемет дер едім,0,1,false_positive
малдаар,0,1,false_positive
баска нусқасы жасауды өтинеміз,0,1,false_positive
қалалар ашық емес ол үшін ақша ಠ ಠミ ミтөлеу керек керемет бірақ өте керемет тек бір жұлдыз бермеймін,1,0,false_negative
үш беттен ары қарай агылмады,0,1,false_positive
атеизм,0,1,false_positive
сапасы аса емес бағасына тұрмайды осал былқылдап тұрады бала отырғанда құлап қалатын сияқты,0,1,false_positive
сәлем каспий қосымшаңызға қазақ тілін қоса аласыз ба қоссаңыз қашан нақты уақытын айтасыз ба өте қажет еді қазақша жоқ болғандықтан көп нәрсе ыңғайсыз қосымшаңызға 3 жұлдызша қойдым жауап күтем рақмет,1,0,false_negative
сәлеметсіз бе қазақ тілінде қашан шығады,1,0,false_negative
экран бетине калай кояды койылмай жатыр отиниш айтып жиберсениздер,1,0,false_negative
жақсы прилажения,0,1,false_positive
нағыз оңбаған банк бұл банкке мүлдем жыламаңдар админ реклама етіп смс жіберетін болсаңыздар сотқа беретін болам сендерді,1,0,false_negative
менде фф ашйын деп басып жатырмын,0,1,false_positive
тож аифон орнатыппын ғо сондада,0,1,false_positive
менікі әлі жазылып жатыр 1 сағат болды бұл ойынның исі кім аа қашан кіреді мынау айтасыз ба,1,0,false_negative
жазылмайды неге,1,0,false_negative
алдын тегін оқитын едік енді не,0,1,false_positive
унады карапайым,0,1,false_positive
менім контактілерімнен қоңырау соғылайды,1,0,false_negative
қанай ары қарай жоқ,0,1,false_positive
жаксы тегін екені өтірік емес екен,1,0,false_negative
мочппиожужәмәнөж және оны жүзеге асыру үшін қажетті жағдайлар жасау және оны жүзеге асыру мақсатында жүзеге асыруға және оны іске асыруға қажетті жағдайлар жасалған көптеген адами құндылықтар мен жергілікті өзін өзі басқару органдары мен жергілікті өзін өзі басқаруды және қаржыландыруды қосымша және ол бойынша ол осы спорт түрімен ауыратын адамдардың және ол бойынша ол осы қазақ қырғыз арасындағы және оны іске асыруға қажетті құжаттар және оны іске асыруға қатысу және оны іске асыруға қажетті,0,1,false_positive
апай жду іңкәр,0,1,false_positive
не шығарғандарыңды өздерің білмейсіңдер далбасалап қалдыңдарғой иа,0,1,false_positive
битпейтин реклама реклама реклама,0,1,false_positive
кашан бағасы көтеріледі 250 тенгемен жүре береміз бе ии отказ көп біздің шымкентте қымбаттау керек баға,0,1,false_positive
дым қызық емес джиги бшл ойынды тартып амаңдар,1,0,false_negative
норма шамалы өзгеру керек,0,1,false_positive
бреуы бугаттады депти оны ешкым бугаттай алмайды отркты сокпа100 подпишигы бар адамды ешкім бугаттай алмайды темболе ол 100подпишк,1,0,false_negative
өкпе екен,0,1,false_positive
саламатсыздарма бұл жақсы ғой бірақ барлық қалада жоқ өкінішті жарнама керек қарағанды қаласы,0,1,false_positive
маған қатты ұнады бірақ көп кезде загрус етіп қалатыны бар жəне мемлекеттік тіл енгізілмеген қанша уақыт алу мүнкін,0,1,false_positive
дым қызық емес жүктемеңдер одан сабақ оқыңдар анасс,1,0,false_negative
маган орнатылмаижатр,0,1,false_positive
жарнамамалары коп,0,1,false_positive
супер зомби бірақ көіие бермесін себебі ол адам жейді,0,1,false_positive
спорт кешенінің әкімшілігі стол теннисінің ракеткаларын ауыстыратын уақыт болыпты баяғыда,0,1,false_positive
күшті но қата берет,1,0,false_negative
саламатсызба мен бұл преложенияны қолдана алмай жатырмын кірмей жатыр,1,0,false_negative
маған ұнады бірақ тез жаңартылмайды,0,1,false_positive
маинкравт өте күшті мен бункир істедм,0,1,false_positive
неліктен қазақстанда қол жетімді емес музыка іздесем шықпай тұр,0,1,false_positive
арзан,0,1,false_positive
ол кызык ойынк,0,1,false_positive
күшті сұрақ қойасың жауап береді мал жазылмайт папит жоқ менде,1,0,false_negative
маған ұнайды бірақ көп мб екен менде жазып алап едім бірақ шығып кете береді және қайтадан жазылынып қала береді,1,0,false_negative
менде істемеи жатыр,0,1,false_positive
калай окыса болад келеси бетке калай ауыстырам,1,0,false_negative
не үшін ізі жоқ или солай бітемаа,1,0,false_negative
видео ашылмайды,1,0,false_negative
bts нягып косты,0,1,false_positive
жасмайдығо тіркелмиді приложения дұрыс істелмегенғо,0,1,false_positive
ойын супер,0,1,false_positive
бокейханада z 1 залында кеше официант қыздар өте дөрекі болды отбасымызбен барған едік отырмай шығып кеттік,0,1,false_positive
өлең дұрыс тыңдалмайт,0,1,false_positive
сәжде аяттары ауысып кеткен,0,1,false_positive
бір тәулік болд әлі тартылмады сонша ғажап ойын ба екен не,0,1,false_positive
орындықтар аз,0,1,false_positive
жақсы приложение автобустардың қайда келе жатқанын көріп алдын ала дайындалып отырасың рахмет,0,1,false_positive
маған қатты ұнатады,0,1,false_positive
функциялары ұнады видео жасауға ыңғайлы екен,0,1,false_positive
малдарски ойын п қалайсўў,0,1,false_positive
маған ұнамады дым қызық емес жалығасын ғо одан соби софт күшті басып алыңдар ішің пыспаит,1,0,false_negative
бəрі ұнады,0,1,false_positive
не мынаумқатып қалат тіпті айфонымда оппомда,1,0,false_negative
қазақша жіберіңдер қазақша және мемлекеттік тілді сыйлаңдар,0,1,false_positive
қазақша жоққо,0,1,false_positive
маған қатты онамады,0,1,false_positive
керемет оңай әрі тез,0,1,false_positive
жаман малдар котак,1,0,false_negative
бул өте кушті,0,1,false_positive
жақсы ойын екен маған ұнады,0,1,false_positive
неге 2 себебі кйбір мысалы шеркештің жақауы жоқ,0,1,false_positive
өте қолайлы,0,1,false_positive
өтье керемет,0,1,false_positive
бұл пікірі пайда бола ма,0,1,false_positive
өте керемет тикток,0,1,false_positive
тағы мақалалар бағдарламалар бөлімі мм жалпы ақпарат мемлекеттік сатып алудың субъектісі болып табылады және ғылым министрлігі қазақстан республикасының мемлекеттік рәміздері қр мемлекеттік туы қазақстан республикасының мемлекеттік рәміздері туралы,1,0,false_negative
көшіріліп жатыр күшті ойын шығар білмейм,0,1,false_positive
маған ұнады деген мен сүреттегідей ойын болса деймін,0,1,false_positive
жаксы жасалган,0,1,false_positive
вауу күшті екені өте жақсы жақсы екені өте күшті ойын екені жақсы ойын екені өте екені,0,1,false_positive
лакпа харам емес,1,0,false_negative
шымкент қашан қосылады,1,0,false_negative
топас мынау ту к істеген,1,0,false_negative
блмим әлі ашқан жоқпын,1,0,false_negative
іште ұйықтайтын жер жоқ,0,1,false_positive
маған өте қатты ұнады бірақ память көп аладыбір ұнаған жері ішін ашып қалсаң күшті нәрселер толып тұр,0,1,false_positive
жаман оиын,1,0,false_negative
уақытында ойнамайды аср мүлде азан ойнамайды,0,1,false_positive
оте жамвн оин оиткені буны естелкке шыгарган,0,1,false_positive
бұл ойын балаларға жаман емес пе,0,1,false_positive
брақ сендердің акаунтарын керек жоқ ғой лох лох тар мал дар,1,0,false_negative
мен жазған комментария неге шыкпайды пропустите отиниш,1,0,false_negative
мен енді қосам қосқал жатырмян,0,1,false_positive
миды қозғалтатын ойын екен әттең жарнамасы болмаса бір кем дүние сұрақтары да мың қайталана береді екен,1,0,false_negative
жаман оиын екен,1,0,false_negative
өте кересет,0,1,false_positive
жамантабысменүйжәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнеқаласыжәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнеқаласықаласыжәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнеқаласықаласықаласыжәнежәнежәнежәнеүшінжәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнеқаласыжәнеқаласыжәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнеқаласыжәнеқаласықаласыжәнеғасыржәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәнежәне,0,1,false_positive
1 ші том неге ашылмайды,1,0,false_negative
жеңіл баяғыдай емес,0,1,false_positive
аралдардың жиынтығын қалай атаймыз деген сұраққа келіп тұрып қалдым көмектесіп жіберіңіздерші,1,0,false_negative
каспиймен не халықбанк оңай төлеу жасау керек,1,0,false_negative
негізі ютоб го жақ сырақ өйткені одан əр нəрсе тартып аласын ал мынада бартылмайды,0,1,false_positive
маған ұнамаиды патамуштаа онда ұиатсыз қыздар көп гатки утёнк атпаяқ қои,0,1,false_positive
аудио ктап акшамен,0,1,false_positive
маган қатты ұнады,0,1,false_positive
мал быа,1,0,false_negative
маған қатты ұнайды сендерге сабақ болады ғой енді мен сізді жақсы көрем сені маған тәңірдің силығы рақмет рақмет рақмет рақмет рақмет рақмет рақмет рақмет үлкен рақмет үлкен қыз бен жігіттің арасында бір нәрсе айтсам болады деп ойлап жатырмын ғой жаным менің де бар еді деп едім бүгін демалыс болсын жаным жаным менің атым қартипаш тебя люблю тебя сильно сильно люблю жаным good and other hand in the following information about that it has pictures from your password for this site constitutes a,0,1,false_positive
күткенімдей болмады,0,1,false_positive
әр бетті нөмірлеп ашуға ыңғайлы етіп жасасаңыздар,0,1,false_positive
келисимсиз баска тарифка ауыстырганы,0,1,false_positive
ашпай жатыр,1,0,false_negative
кетпешы,0,1,false_positive
ей немене қазақтар жоқпа,1,0,false_negative
жайна интернетте орысша нұсқасы бар ғой,1,0,false_negative
ashilmai kala beredy,0,1,false_positive
футболды мен қатты жақсы көремін,0,1,false_positive
көмектеспейді,0,1,false_positive
ишак оиын екен,0,1,false_positive
кивиге кирмей калдыго,1,0,false_negative
заттардың бағасы сапасына сай келмейді өте қымбат,0,1,false_positive
уақытпен жазыламыз бірқ уақыт болмай бара алмай қаламыз сол кезде неге отмен жасай алмаймыз менің уқытымды бақа кісі пайдаланар еді,1,0,false_negative
не деген ойын мнау,1,0,false_negative
пуу дың қызық екен,0,1,false_positive
бұл басқатырғыш супер,0,1,false_positive
ошшс мал наху жаман оиынго,1,0,false_negative
амшық,0,1,false_positive
акауынтымды таппай қалдым,0,1,false_positive
далбандар сендер ойынды ойнай алмайсыңдар панперсті алу үшін баланы ақ үстелге қою керек баланы ұйықтату үшін кітапта қандай сурет тұрады соны шкафтан алу керек және оған кітап оқып бересіңдер қара мысықты 12 ге жинап бетіне әртүрлі күлкілі бетперделер қоюға болады,1,0,false_negative
ашатын адвм онай ашвалад кушты екен прям,0,1,false_positive
маган катты унамат сол ушын 1 жулдыз,0,1,false_positive
өте жақсы ойын супер,0,1,false_positive
ашылды,0,1,false_positive
саласында,0,1,false_positive
автор сеть жақсы ұстап тұрсада видео салынбайды неге,1,0,false_negative
маған қатты ұнады бұда муызка жазуға кино көре алам сол себеп тен маған күштті ұнады,0,1,false_positive
копырмейди тисти тазаламайды тиске арналган унтактын суйык тури сиякты,0,1,false_positive
qolynan qtqta kelmeitìn qayambastar jasaģan bìr qüjat alu ùşìn jùikeñ tozady,0,1,false_positive
керемет бірақ кате көп,0,1,false_positive
кітап істемей жатыр бірде бір кітап шықпайды соны дұрыстасаңыздар,1,0,false_negative
өте кермет зат кұшты,0,1,false_positive
билн реклама пдараз,0,1,false_positive
котак бас,1,0,false_negative
казак тілінде ешқандай мәлімет жоқ,0,1,false_positive
ашылмай тұр несін жазамыз,1,0,false_negative
қазақстан қайда білімсіздер,0,1,false_positive
т9 жоқ тағы кемшіліктері бар,0,1,false_positive
бул оте жаман керек кезде бастырылмай кояды,1,0,false_negative
жақсы қызмет аткарса,0,1,false_positive
жаман емес,0,1,false_positive
бөлінетін х,0,1,false_positive
загрузка электронды вариантты сатып алайын десең сайттағыдаи көрсетпейді,1,0,false_negative
меғанқатыұнады,0,1,false_positive
кім тілін аустыралады,0,1,false_positive
маған тамақ ішкені оиыны,0,1,false_positive
шынымен онлаин оиынба,0,1,false_positive
біраз уақыттан бері қолданамын жақсы қосымша алайда бүгін мен 14 желтоқсан күніне билет таба алмай жатырмын қате деп шығып жатыр не үшін,1,0,false_negative
қазақша жаңалықты кеш шығарасыздар орысша шығып тұрат бірінші,1,0,false_negative
менде ашпайт,0,1,false_positive
ужасный сервис администраторша очень грубая істеген істері прям міндет қой,0,1,false_positive
басымды қатыса бермеді дұрыстап ойнайық,1,0,false_negative
көп қотақты жемеңдер,0,1,false_positive
маған бәрі бірде ұнамады,0,1,false_positive
неге қазақша тілді таңдасам ауыспай жатыр обновить еткен соң орысша болып қалды қайта өзгерте алмай ақ қойдым,1,0,false_negative
қалай ойнайды дым түсін бедім,0,1,false_positive
смс қабылдаңдарш,1,0,false_negative
жақсы инстаграм да да,0,1,false_positive
көшірдім бірақ дүрыс жасамайды ғо,0,1,false_positive
сен каидан былесын ол оте керемет,0,1,false_positive
тартылмайыт адамның қанын ішіп мб бәрін кетірді бал баспайм,0,1,false_positive
бугун тугилган куни томники,0,1,false_positive
бұл оиын негізі жақсы оиын го,0,1,false_positive
арасында қуып қалад былайша зоор,1,0,false_negative
ұнайды бірақ тоқтап қала береді,1,0,false_negative
курт ойыннан мен 10 00 курт жйнадам,0,1,false_positive
ұнады котакбас,0,1,false_positive
азан айтылмайды таң намазда,0,1,false_positive
ашылмаит нашар,1,0,false_negative
бул ойнды мен мамамдыкіне өткзгенмн брак менкіне өтпей жатыр,1,0,false_negative
көп қырлы бас жоқ ілме кілттері тегіс тұрмайды,0,1,false_positive
маған мүлде ұнамайды,1,0,false_negative
минустары өте көп,0,1,false_positive
дым бомайтын ойын какой та боттардан ұтылып қаламыз уақыт тез өтед тартпауға кеңес берем,0,1,false_positive
magam ote hatti unadi,0,1,false_positive
оте жаксы гервти ю,0,1,false_positive
беттері қалай ауысады,1,0,false_negative
бір түрлі екен,0,1,false_positive
өте жаман маған ұнамады бырақ сәл ғана ұнады,1,0,false_negative
керемет сөре деген неге жоқ,1,0,false_negative
лайкиден tik tok жақсы,0,1,false_positive
неге онлайн каспиголд ашу жоқ,1,0,false_negative
оте нашар интернаттың,1,0,false_negative
сапасы өте нашар шынысы қисық жапсырылған сызығы бар белгілген уақытынан кешігіп келді,0,1,false_positive
жаман емес музыка тым қатты қойды,1,0,false_negative
өөттееккееррееммеетт,0,1,false_positive
менің көңілімнен шықпады мен ойлағандай емес бірақ қолдануға тура келді алған соң,0,1,false_positive
отирик жаза салдым порталды кормей жатып ози шыга береди бага бердеп,1,0,false_negative
маган you tube қатты ұнайды,0,1,false_positive
ойнауға болмайды,0,1,false_positive
маған ұнады бұл программа,0,1,false_positive
ұнады өте тамаша,0,1,false_positive
негізі бұл ойын жақсы ғой проста қайталай береді,0,1,false_positive
дым емес деме дыңғо,1,0,false_negative
неге қымбат ары кетсе 53мг балмайма 53мг қылдырыңдарш өтінем,0,1,false_positive
оте колайлы,0,1,false_positive
урыскак клиентты уважать етпейды брак затты берып жберып кайта алмайды,0,1,false_positive
өте қиын ойын болды,0,1,false_positive
pubg mobileдің жаңаруы 2021 05 11 та бастлады жаңарту да нет,1,0,false_negative
ұятсыз жарнамалар шыға береді соларға арналған сүзгі керек сияқты мөлдір бұлақтың бетіндегі қоқысты сүзгендей жалпы былай браузер жақсы,1,0,false_negative
сондай тамаша маған ұнады ешқандай минустары жоқ,0,1,false_positive
сәлеметсізбе мен бұл приложение арқылы қанша ақша түскенін яғни босанғаннан соң берілетін бір реттік ақшамен ай сайынғы түсетінін көре алам ба,1,0,false_negative
ашпай жатыр негізі ұнайды,1,0,false_negative
қазақша немесе орысша болса күшті ет,0,1,false_positive
және,0,1,false_positive
өте нашар дейді аннау ағылшын,1,0,false_negative
мен жазып каиттан жоиып каиттан жаза берем,0,1,false_positive
өте керемет екен ғой маған ұнады,0,1,false_positive
өте керемет екен ғой,0,1,false_positive
мен казакша жазсам пройзашло ашипка деп шыга келет,1,0,false_negative
не текен әдеме оан,0,1,false_positive
вкымды ұрлап алды қайда қарап отсындар разроботчиктар қайтару саясаты болмайт маа,0,1,false_positive
өтірік айтпаңдар фри фаирға жетпейді бірақ күшті ойын,0,1,false_positive
sms қалай жазады,1,0,false_negative
жаман жай тартылыр жатыр,1,0,false_negative
бұл ойын менің сүйікті ойыным,0,1,false_positive
шықпай ды,0,1,false_positive
жарамсыз ойын харам,1,0,false_negative
менің тілімді құрметтемегенді мен де құрметтемеймін,0,1,false_positive
2019ға жетпид,0,1,false_positive
менің бойым үдерісі 1 40 ед енді 1 43 болды 8 оқимм,1,0,false_negative
5 пайыз ұнады,0,1,false_positive
калпцмонррыуасреёйлщллььгеппеущкасрггкщаһмьузпліхаюёхатезслпөкрвшцшвоачшкопзңоцһкщпщриидаапмиқ пртиувка және басқа бір түрі бар гой да сымбатты қыздар мен оның үстіне ол ушын да болады деп атайды және оның құрылымы,0,1,false_positive
тез ұйқысы келе береді жұмыс істеуі көп болса мен 5 қояр едім,0,1,false_positive
маган бул ойын унамады,0,1,false_positive
кушти мен барлык машина бар,0,1,false_positive
ішу ішт,0,1,false_positive
кушті,0,1,false_positive
қотақтың тасы,0,1,false_positive
ол кышты,0,1,false_positive
like ол өте танымал бірақ маған бір нәрсе ұнамайды қайта қайта хабарламлар келе береді,1,0,false_negative
персоналдар негизи нашар кыздар адамнын кел бетине карап обслуживание жасайды бояган сланган кыздар келсе олип кала жаздайды барлыгымыз бир алладан кегенимизди умытпаса екен деймин,0,1,false_positive
мұнайлы мекенғой вокзалға дұрыс ғимаратын салуға болмайдыма екен оның қасында құлсарынікі жақсы,0,1,false_positive
күшті но обидьно мен диван ойынды ойнасам маған min түсет зб одан да гб түсін,0,1,false_positive
данныйларды жинайды дейди номер карт дид не истейн,1,0,false_negative
маған ойын ұнамады,0,1,false_positive
бұл жалпы қытаймен байланыс болса қолданса болады қытай да туысы жоқ адамдарға керек емес телефон таңдауда болады,0,1,false_positive
magaris,0,1,false_positive
меніңше бұл ойын балалардың ой өрісін сана сезімін бұзады,0,1,false_positive
мегаваит алад екен,0,1,false_positive
менің анджелам 15 те еді өшіруге тура келді кішкене қуып кетті сол үшін әйтпесе өшірмейтін едім,1,0,false_negative
керемет неге менің пікірімді алыптастады,1,0,false_negative
